date,strategy,ticker,weight,predicted_return_21d,actual_future_return_21d,strategy_note
2025-11-28,spy_buy_hold,DBC,0.0,,0.014829657971858978,benchmark
2025-12-31,pto_markowitz,SPY,2.05391259555654e-15,-0.0064407829195261,0.019782360643148422,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-12-31,pto_markowitz,QQQ,0.9999999999999938,0.021641243249177933,0.01925741508603096,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-12-31,pto_markowitz,TLT,5.273559366969495e-16,-0.0037909976672381163,-0.003200359409675002,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-12-31,pto_markowitz,GLD,3.885780586188049e-16,-0.017677560448646545,0.07776742428541183,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-12-31,pto_markowitz,VNQ,1.0824674490095278e-15,-0.015437821857631207,0.015482031740248203,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-12-31,pto_markowitz,DBC,2.1926904736346846e-15,-0.01743323542177677,0.05277281999588013,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-12-31,spo_plus,SPY,0.0,0.826734185218811,0.019782360643148422,PyEPO SPO+ loss with MaxReturn optimizer
2025-12-31,spo_plus,QQQ,0.0,0.28619301319122314,0.01925741508603096,PyEPO SPO+ loss with MaxReturn optimizer
2025-12-31,spo_plus,TLT,1.0,2.0273351669311523,-0.003200359409675002,PyEPO SPO+ loss with MaxReturn optimizer
2025-12-31,spo_plus,GLD,0.0,-0.38945966958999634,0.07776742428541183,PyEPO SPO+ loss with MaxReturn optimizer
2025-12-31,spo_plus,VNQ,0.0,-1.399435043334961,0.015482031740248203,PyEPO SPO+ loss with MaxReturn optimizer
2025-12-31,spo_plus,DBC,0.0,-0.7581929564476013,0.05277281999588013,PyEPO SPO+ loss with MaxReturn optimizer
2025-12-31,spo_plus_fee,SPY,0.0,0.826734185218811,0.019782360643148422,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-12-31,spo_plus_fee,QQQ,1.5808221646810855e-15,0.28619301319122314,0.01925741508603096,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-12-31,spo_plus_fee,TLT,0.9999999999999984,2.0273351669311523,-0.003200359409675002,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-12-31,spo_plus_fee,GLD,0.0,-0.38945966958999634,0.07776742428541183,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
