date,ticker,future_return_21d,future_rank_21d,label_outperform_median_21d,label_top2_21d,label_positive_21d
2020-07-10,SPY,0.056614027924798194,2,1,1,1
2020-07-10,TLT,0.017904641622229933,6,0,0,1
2020-07-10,VNQ,0.05632339578129142,3,1,0,1
2020-07-13,DBC,0.03990424094795486,4,0,0,1
2020-07-13,GLD,0.062219651267299225,1,1,1,1
2020-07-13,QQQ,0.02572125139487036,5,0,0,1
2020-07-13,SPY,0.05704512291489694,2,1,1,1
2020-07-13,TLT,0.0024927185599799007,6,0,0,1
2020-07-13,VNQ,0.05363369252110006,3,1,0,1
2020-07-14,DBC,0.046068363635350495,4,0,0,1
2020-07-14,GLD,0.05235327301424153,3,1,0,1
2020-07-14,QQQ,0.044129693636996814,5,0,0,1
2020-07-14,SPY,0.05807089439819224,1,1,1,1
2020-07-14,TLT,-0.008052990069617683,6,0,0,0
2020-07-14,VNQ,0.055369973318537546,2,1,1,1
2020-07-15,DBC,0.03924639002757213,4,0,0,1
2020-07-15,GLD,0.07625928010117344,1,1,1,1
2020-07-15,QQQ,0.04438498442101313,3,1,0,1
2020-07-15,SPY,0.0465433447272825,2,1,1,1
2020-07-15,TLT,-0.014054389667353728,6,0,0,0
2020-07-15,VNQ,0.032315523859775874,5,0,0,1
2020-07-16,DBC,0.047468223269090615,4,0,0,1
2020-07-16,GLD,0.08184672499425516,1,1,1,1
2020-07-16,QQQ,0.050324082947850624,2,1,1,1
2020-07-16,SPY,0.05003253388753426,3,1,0,1
2020-07-16,TLT,-0.02254794641134661,6,0,0,0
2020-07-16,VNQ,0.04493967807291055,5,0,0,1
2020-07-17,DBC,0.06319118674594026,2,1,1,1
2020-07-17,GLD,0.09628500677729912,1,1,1,1
2020-07-17,QQQ,0.06129074934113543,3,1,0,1
2020-07-17,SPY,0.05032353552171598,4,0,0,1
2020-07-17,TLT,-0.01803561634306705,6,0,0,0
2020-07-17,VNQ,0.03991340875506166,5,0,0,1
2020-07-20,DBC,0.06640326766783922,2,1,1,1
2020-07-20,GLD,0.10085404228471573,1,1,1,1
2020-07-20,QQQ,0.04194496601760367,5,0,0,1
2020-07-20,SPY,0.04415391544061631,4,0,0,1
2020-07-20,TLT,-0.013438211381846865,6,0,0,0
2020-07-20,VNQ,0.047471502024778456,3,1,0,1
2020-07-21,DBC,0.04832436170818033,2,1,1,1
2020-07-21,GLD,0.05341043637667098,1,1,1,1
2020-07-21,QQQ,0.04583352475965263,3,1,0,1
2020-07-21,SPY,0.03759873575921424,4,0,0,1
2020-07-21,TLT,-0.0201918099987618,6,0,0,0
2020-07-21,VNQ,0.026565797692241766,5,0,0,1
2020-07-22,DBC,0.04027876693064414,3,1,0,1
2020-07-22,GLD,0.04481008312012902,2,1,1,1
2020-07-22,QQQ,0.056618825378723425,1,1,1,1
2020-07-22,SPY,0.03493854275300601,4,0,0,1
2020-07-22,TLT,-0.014281048192948509,6,0,0,0
2020-07-22,VNQ,0.020730797535631895,5,0,0,1
2020-07-23,DBC,0.03260856986187988,3,1,0,1
2020-07-23,GLD,0.027373328276351083,4,0,0,1
2020-07-23,QQQ,0.0924769958892564,1,1,1,1
2020-07-23,SPY,0.05115191361300342,2,1,1,1
2020-07-23,TLT,-0.01982395926612357,6,0,0,0
2020-07-23,VNQ,0.02665621788556516,5,0,0,1
2020-07-24,DBC,0.036434131249397206,4,0,0,1
2020-07-24,GLD,0.012870750369536887,5,0,0,1
2020-07-24,QQQ,0.10983733459579526,1,1,1,1
2020-07-24,SPY,0.06868644729055506,2,1,1,1
2020-07-24,TLT,-0.02135852937561855,6,0,0,0
2020-07-24,VNQ,0.04092064413481422,3,1,0,1
2020-07-27,DBC,0.03533029061857107,3,1,0,1
2020-07-27,GLD,-0.005542416344815115,5,0,0,0
2020-07-27,QQQ,0.09895438359188602,1,1,1,1
2020-07-27,SPY,0.06466163829622529,2,1,1,1
2020-07-27,TLT,-0.02523125512558222,6,0,0,0
2020-07-27,VNQ,0.03382314474534187,4,0,0,1
2020-07-28,DBC,0.0432432226567212,3,1,0,1
2020-07-28,GLD,-0.0021224456579507223,5,0,0,0
2020-07-28,QQQ,0.13687156276184131,1,1,1,1
2020-07-28,SPY,0.0821993993472312,2,1,1,1
2020-07-28,TLT,-0.035632852151990635,6,0,0,0
2020-07-28,VNQ,0.00434715918490447,4,0,0,1
2020-07-29,DBC,0.03379420200625893,3,1,0,1
2020-07-29,GLD,-0.02101225780289251,5,0,0,0
2020-07-29,QQQ,0.12041404748992535,1,1,1,1
2020-07-29,SPY,0.07138910376837226,2,1,1,1
2020-07-29,TLT,-0.050417886698187586,6,0,0,0
2020-07-29,VNQ,-0.00024383624259127767,4,0,0,0
2020-07-30,DBC,0.05283605601216679,3,1,0,1
2020-07-30,GLD,0.0034284115239733293,5,0,0,1
2020-07-30,QQQ,0.12024675876350743,1,1,1,1
2020-07-30,SPY,0.08217040232649797,2,1,1,1
2020-07-30,TLT,-0.05733570586103387,6,0,0,0
2020-07-30,VNQ,0.012877088673622916,4,0,0,1
2020-07-31,DBC,0.04636789979782363,3,1,0,1
2020-07-31,GLD,-0.0032356731296194763,5,0,0,0
2020-07-31,QQQ,0.10944743817748415,1,1,1,1
2020-07-31,SPY,0.06979650392392944,2,1,1,1
2020-07-31,TLT,-0.05046562216289585,6,0,0,0
2020-07-31,VNQ,0.004423152284432907,4,0,0,1
2020-08-03,DBC,0.037490448752652394,3,1,0,1
2020-08-03,GLD,-0.003178174638172937,5,0,0,0
2020-08-03,QQQ,0.1133717825733418,1,1,1,1
2020-08-03,SPY,0.07241707418951582,2,1,1,1
2020-08-03,TLT,-0.034745061986253156,6,0,0,0
2020-08-03,VNQ,0.0186776061204752,4,0,0,1
2020-08-04,DBC,0.018264722875853012,4,0,0,1
2020-08-04,GLD,-0.03676354952969718,6,0,0,0
2020-08-04,QQQ,0.11975776776935132,1,1,1,1
2020-08-04,SPY,0.08374197516633997,2,1,1,1
2020-08-04,TLT,-0.034756310048359884,5,0,0,0
2020-08-04,VNQ,0.02232824636707198,3,1,0,1
2020-08-05,DBC,0.00075471217416756,4,0,0,1
2020-08-05,GLD,-0.05335775483771765,6,0,0,0
2020-08-05,QQQ,0.06035820705148698,1,1,1,1
2020-08-05,SPY,0.039986803002466154,2,1,1,1
2020-08-05,TLT,-0.02347633901779278,5,0,0,0
2020-08-05,VNQ,0.015166674110274947,3,1,0,1
2020-08-06,DBC,-0.015730318445254632,4,0,0,0
2020-08-06,GLD,-0.06318015389428078,6,0,0,0
2020-08-06,QQQ,0.03255179409760123,1,1,1,1
2020-08-06,SPY,0.02464629436075949,2,1,1,1
2020-08-06,TLT,-0.04734030296254843,5,0,0,0
2020-08-06,VNQ,0.008248246266040926,3,1,0,1
2020-08-07,DBC,-0.026575713078433982,4,0,0,0
2020-08-07,GLD,-0.04989258631239979,6,0,0,0
2020-08-07,QQQ,-0.0055992324425712114,2,1,1,0
2020-08-07,SPY,-0.004065137435491861,1,1,1,0
2020-08-07,TLT,-0.0350545080503204,5,0,0,0
2020-08-07,VNQ,-0.018084916363045545,3,1,0,0
2020-08-10,DBC,-0.022658633280166485,4,0,0,0
2020-08-10,GLD,-0.03733889599066598,6,0,0,0
2020-08-10,QQQ,0.028004616517470104,1,1,1,1
2020-08-10,SPY,0.012575127393246621,2,1,1,1
2020-08-10,TLT,-0.03332260465273118,5,0,0,0
2020-08-10,VNQ,-0.009937238614231236,3,1,0,0
2020-08-11,DBC,-0.0168840911837993,6,0,0,0
2020-08-11,GLD,0.014004691776535516,2,1,1,1
2020-08-11,QQQ,0.026961730080329094,1,1,1,1
2020-08-11,SPY,0.0032750274168709126,3,1,0,1
2020-08-11,TLT,-0.016723443655150994,5,0,0,0
2020-08-11,VNQ,-0.007745993776974713,4,0,0,0
2020-08-12,DBC,-0.020501174021970825,5,0,0,0
2020-08-12,GLD,0.01870458252687235,1,1,1,1
2020-08-12,QQQ,-0.005186482586894359,2,1,1,0
2020-08-12,SPY,-0.010016752870042,4,0,0,0
2020-08-12,TLT,-0.0055814257427753144,3,1,0,0
2020-08-12,VNQ,-0.023128461156928792,6,0,0,0
2020-08-13,DBC,-0.02492439727250728,6,0,0,0
2020-08-13,GLD,0.0030545876452334753,5,0,0,1
2020-08-13,QQQ,0.009835701950712927,2,1,1,1
2020-08-13,SPY,0.004839193997570268,4,0,0,1
2020-08-13,TLT,0.005102037400733561,3,1,0,1
2020-08-13,VNQ,0.013187202790574393,1,1,1,1
2020-08-14,DBC,-0.019637421471008998,6,0,0,0
2020-08-14,GLD,0.0049852289666896255,5,0,0,1
2020-08-14,QQQ,0.025353062104646273,1,1,1,1
2020-08-14,SPY,0.009886031029422204,3,1,0,1
2020-08-14,TLT,0.006589425063226129,4,0,0,1
2020-08-14,VNQ,0.02526150201169819,2,1,1,1
2020-08-17,DBC,-0.01783057739193805,6,0,0,0
2020-08-17,GLD,-0.013565677100787488,5,0,0,0
2020-08-17,QQQ,-0.0025790402510158517,4,0,0,0
2020-08-17,SPY,0.0026927922981581087,2,1,1,1
2020-08-17,TLT,0.0010682780633608502,3,1,0,1
2020-08-17,VNQ,0.02236896828572177,1,1,1,1
2020-08-18,DBC,-0.008895421759887778,4,0,0,0
2020-08-18,GLD,-0.027739324928700904,6,0,0,0
2020-08-18,QQQ,-0.027521027428086597,5,0,0,0
2020-08-18,SPY,-0.008268471096611663,3,1,0,0
2020-08-18,TLT,-0.0030020215386724614,2,1,1,0
2020-08-18,VNQ,0.007246683945029142,1,1,1,1
2020-08-19,DBC,-0.0014871422495973396,4,0,0,0
2020-08-19,GLD,0.005267731706220191,1,1,1,1
2020-08-19,QQQ,-0.033430064505220014,6,0,0,0
2020-08-19,SPY,-0.015587039554358584,5,0,0,0
2020-08-19,TLT,0.000151491893732425,3,1,0,1
2020-08-19,VNQ,0.002125254529595777,2,1,1,1
2020-08-20,DBC,-0.02457178126052495,3,1,0,0
2020-08-20,GLD,-0.021689350013836872,2,1,1,0
2020-08-20,QQQ,-0.04436807571074608,6,0,0,0
2020-08-20,SPY,-0.029564769286674175,4,0,0,0
2020-08-20,TLT,-0.0037784842582517797,1,1,1,0
2020-08-20,VNQ,-0.037151893779075684,5,0,0,0
2020-08-21,DBC,-0.019548830543592355,3,1,0,0
2020-08-21,GLD,-0.018568394800192234,2,1,1,0
2020-08-21,QQQ,-0.03331301781081186,6,0,0,0
2020-08-21,SPY,-0.023146487547703543,4,0,0,0
2020-08-21,TLT,-0.010495667735362368,1,1,1,0
2020-08-21,VNQ,-0.027200762230205067,5,0,0,0
2020-08-24,DBC,-0.035901287873807086,3,1,0,0
2020-08-24,GLD,-0.034309429358382215,2,1,1,0
2020-08-24,QQQ,-0.06864639372420056,6,0,0,0
2020-08-24,SPY,-0.0553731583245235,4,0,0,0
2020-08-24,TLT,-0.007558215043792393,1,1,1,0
2020-08-24,VNQ,-0.06253078880300145,5,0,0,0
2020-08-25,DBC,-0.03931750198996198,3,1,0,0
2020-08-25,GLD,-0.03189492738308486,2,1,1,0
